ID,Date,Tweet,Reply_count,Retweet_count,Like_count
1323409554567094272,2020-11-02 23:40:00+00:00,"Donald Trump is the most corrupt president in modern history.

Donald Trump is the most racist president in modern history.

Donald Trump is the worst jobs president in modern history.

Why would we give him another four years?",18961,31847,207292
1323404521523982338,2020-11-02 23:20:00+00:00,"The power to change this country is in your hands.

Vote: https://t.co/eoxT07uII9 https://t.co/fwxrJWjs7U",1630,3452,19379
1323400746939883522,2020-11-02 23:05:00+00:00,"Here’s the truth: Donald Trump inherited a growing economy from President Obama and me. And just like everything else he’s inherited in life, he squandered it.",11611,34213,260334
1323391493885718528,2020-11-02 22:28:14+00:00,I’m speaking with members of the African American community in Pittsburgh about the power of the vote — and the future we can build together. Tune in. https://t.co/1wFBiLoCWu,1538,1896,13395
1323383130435260419,2020-11-02 21:55:00+00:00,"When America votes, America will be heard. And when America is heard, I believe the message is going to be loud and clear: It’s time for Donald Trump to leave the White House.",5853,16643,141492
1323376838874484738,2020-11-02 21:30:00+00:00,"A Biden-Harris administration will:

- Implement nationwide mask mandates
- Ensure access to regular, reliable, and free testing
- Accelerate the development and distribution of safe and effective treatments and vaccines

We won’t waste any time getting this virus under control.",3480,7097,58707
1323373064277680128,2020-11-02 21:15:00+00:00,"Health care. 
Civil rights.
Climate change. 
Economic inequality. 
Racial justice.
The Supreme Court.
Our democracy.

They’re all at stake. Vote. https://t.co/eoxT07d7QB",1633,4289,27201
1323369292499484684,2020-11-02 21:00:01+00:00,"Together, we're going to rebuild our economy. And when we do, we'll not only build it back — we'll build it back better.",3845,7541,82371
1323365514400464897,2020-11-02 20:45:00+00:00,"You have the power to own the outcome of this election and determine the course of our country for generations to come.

Make your plan to vote: https://t.co/uoiVh9ZqzI https://t.co/RG2iIIEyWs",1367,2537,19834
1323362494753075201,2020-11-02 20:33:00+00:00,"It’s go time, America.

https://t.co/eoxT07uII9 https://t.co/5Hxi1E8CVe",1778,5609,27785
1323357964737089540,2020-11-02 20:15:00+00:00,"In public, President Trump compared COVID-19 to the flu and suggested people inject bleach to treat it.

In private, he told Bob Woodward it was deadlier than the flu and that he wanted to downplay it.

It’s unthinkable.",2801,9073,64434
1323354189876125696,2020-11-02 20:00:00+00:00,"I have always believed you can define America in one word: possibilities. And I refuse to postpone those possibilities any longer.

There is so much we can achieve as a nation with Donald Trump out of the White House.",2067,6153,51491
1323345575526297600,2020-11-02 19:25:46+00:00,"I'm in Beaver County, Pennsylvania, to thank some of our incredible volunteers for all their hard work. Tune in — and then sign up to help: https://t.co/VUXqFt8uvT https://t.co/iufd7btpcO",1143,1778,12567
1323344123873710081,2020-11-02 19:20:00+00:00,"Are you still undecided about who to vote for or know someone who is? My team put together some cheat sheets to show where Donald Trump and I stand on the issues to help you out. Take a look, and then share them with family and friends. https://t.co/DyTRJ38XPT",3569,20379,68384
1323340422794645505,2020-11-02 19:05:17+00:00,"We only get one opportunity to vote out Donald Trump — and we can’t leave anything to chance.

Vote: https://t.co/eoxT07d7QB
Volunteer: https://t.co/WSKsQEip4U
Donate: https://t.co/FGzADMacLc

Let’s get the job done.",1595,4080,26593
1323336825306402816,2020-11-02 18:51:00+00:00,"Mask up and vote.

https://t.co/eoxT07uII9 https://t.co/Z1gz3AkbgW",3966,15204,110439
1323326718426320899,2020-11-02 18:10:50+00:00,Tune in as my campaign manager @jomalleydillon and campaign adviser Bob Bauer discuss what to expect on Election Night. https://t.co/5E8k22TbOG,1052,1330,8078
1323320216038776832,2020-11-02 17:45:00+00:00,"We have one shot. One opportunity. One moment.

Don’t miss the chance — vote. https://t.co/6khzdLyIjL",6232,37252,172275
1323317447823273985,2020-11-02 17:34:00+00:00,"Tomorrow, the American people get their say and will choose the next President. This afternoon, my campaign manager @jomalleydillon and campaign adviser Bob Bauer will sit down to discuss what you can expect as the results come in. You can watch right here on Twitter at 1 PM ET. https://t.co/FAEpxUJs4s",1027,1658,12296
1323306919461756930,2020-11-02 16:52:10+00:00,One day left — and we're leaving it all on the field. Tune in as we get out the vote in Cleveland. https://t.co/GM62WxKTIc,1911,2222,14790
1323299670580449281,2020-11-02 16:23:21+00:00,"We’re just one day away from the most important election of our lifetimes — and we need your help to get voters to the polls.

Sign up to volunteer today: https://t.co/WSKsQEip4U",1766,3741,29214
1323297566726017024,2020-11-02 16:15:00+00:00,"Climate change isn't a hoax –– it's a threat to millions of Americans like Velma and Amirah.

We have to vote out Donald Trump tomorrow and take urgent action to combat this crisis. https://t.co/Lg9fvFlVg9",1252,2872,17484
1323291275613757442,2020-11-02 15:50:00+00:00,This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.,3395,11697,117143
1323285487059042309,2020-11-02 15:27:00+00:00,1 day. Let’s win this thing.,13980,70049,592808
1323281209267527680,2020-11-02 15:10:00+00:00,From climate change to racial justice — there is so much on the line in this election. So my team put together a generator to help you show your friends and family what you’re voting for. Head to https://t.co/kdc4aQ0d2D to try it out.,1324,1617,10391
1323273910981451778,2020-11-02 14:41:00+00:00,"If you can still vote early, then vote early today.

If you haven’t returned your absentee ballot yet, then return it today.

If you’re voting in-person tomorrow, then make your plan today.

Let’s end this — today.",4040,26529,198138
1323267619416399872,2020-11-02 14:16:00+00:00,"My faith has been my anchor through highs and lows –– a guiding light that taught me the values of honesty, decency, and treating others with respect.

As president, it will continue to serve as a source of strength. https://t.co/wIVS8Uga2d",4727,4711,28871
1323262197573836805,2020-11-02 13:54:27+00:00,"Don’t wait: Drop off your ballot today.

https://t.co/eoxT07d7QB",1563,5632,46376
1323256294925455360,2020-11-02 13:31:00+00:00,We need a president who actually listens to experts like Dr. Fauci.,9748,26218,293922
1323252268481695744,2020-11-02 13:15:00+00:00,"If I have the honor of being elected president, I will take care of your family like I would my own. https://t.co/MsIORKeVTF",7180,7202,50427
1323244215187447814,2020-11-02 12:43:00+00:00,"I started this campaign saying we were in a battle for the soul of this nation — and I believe that even more deeply today.

But make no mistake: It’s a battle we can and will win.",2866,8822,80795
1323238930339287045,2020-11-02 12:22:00+00:00,"Our president has failed in his most basic duty to this nation: to protect us.

It’s unforgivable.",4347,16642,157777
1323233897694470144,2020-11-02 12:02:00+00:00,"The hard truth is that our economy wasn't working for folks long before this crisis. It's why we can't just go back to the way things were — we have to build back better.

Here's how we'll do it: https://t.co/rt5RD9Fdi0",1143,1973,13187
1323228219127046144,2020-11-02 11:39:26+00:00,"Vote for respect.
Vote for decency.
Vote for truth.
Vote for leadership.

https://t.co/eoxT07d7QB",4464,14013,113762
1323136505435561985,2020-11-02 05:35:00+00:00,"When you use your voice and vote, things can — and will — change for the better. https://t.co/eoxT07d7QB",2154,2625,20100
1323128955642253312,2020-11-02 05:05:00+00:00,"Donald Trump sees the world from Park Avenue.

I see it from where I came from: Scranton, Pennsylvania. 

It's why I'll fight every day as president to make this country work for middle class and low-income Americans — not just the wealthy and well-connected.",7160,8515,81919
1323122502751653888,2020-11-02 04:39:21+00:00,"No one fights harder for the people of Alabama than my friend, @DougJones. He's a Senator with a big heart and he's never afraid to fight for what's right.

Doug is in a tight race and needs your help to win on Tuesday. Chip in: https://t.co/jwBbBDNZfH https://t.co/6kOEbMS4Pn",952,4390,26810
1323117631033933825,2020-11-02 04:20:00+00:00,"As president, I’ll protect and build on Obamacare by: 

- Giving Americans the choice of a new public option
- Lowering premiums, deductibles, and co-pays
- Lowering the cost of prescription drugs

Learn more: https://t.co/uw7Kk0ONHA",1681,2324,15518
1323112598938767361,2020-11-02 04:00:00+00:00,"The United States of America has emerged stronger from every trial and tribulation it has faced. And if we come together, follow the science, and keep faith with each other, we will once again. I promise.",1978,7687,66434
1323105048075792385,2020-11-02 03:30:00+00:00,"This is the most important election in our lifetimes — and you have the power to make all the difference.

Vote. https://t.co/eoxT07uII9",1954,2966,21996
1323098757173448704,2020-11-02 03:05:00+00:00,"2016 taught us to take nothing for granted and to leave everything on the field.

Vote: https://t.co/eoxT07uII9 https://t.co/q4yiDddE2s",1287,4311,21504
1323096239970373638,2020-11-02 02:55:00+00:00,"When Donald Trump thinks about climate change, he thinks “hoax.” 

I think “jobs.”

We can solve our climate crisis and our economic crisis at the same time. Here’s how: https://t.co/AKl9jZKB0s",1512,3631,25123
1323087935411924993,2020-11-02 02:22:00+00:00,"This is our moment to root out systemic racism and build a nation true to our founding ideals. A nation where all men and women are not only created equal — but treated equally. 

Here's how we'll advance racial economic equity: https://t.co/Tjgyn1gR2V",2133,2442,14638
1323082401774329856,2020-11-02 02:00:00+00:00,"A more hopeful, united, and loving America is within our grasp –– but we have to vote for it.

https://t.co/eoxT07uII9 https://t.co/cxmNP5SKpH",1780,2725,16994
1323077868990193672,2020-11-02 01:42:00+00:00,Donald Trump’s COVID-19 response has been the greatest failure of presidential leadership in our nation’s history.,4811,20189,175064
1323073590749614080,2020-11-02 01:25:00+00:00,From Arizona to Georgia to Wisconsin and beyond — we’re working hard to earn every last vote. https://t.co/mmfZspnLOU,2154,3642,38156
1323069815880327173,2020-11-02 01:10:00+00:00,"Under my tax plan, no one making under $400,000 will see their taxes go up.

But it’s time large corporations and the wealthiest Americans pay their fair share.",6601,17748,135520
1323062266200264705,2020-11-02 00:40:00+00:00,"I want to help restore hope in this country — and I have a bold vision for how, together, we can do that. https://t.co/ZdW23fhad2",2074,2458,16574
1323057366510817284,2020-11-02 00:20:32+00:00,"Together, we can make Donald Trump a one-term president.

https://t.co/eoxT07d7QB",4954,9672,98377
1323052200814366720,2020-11-02 00:00:00+00:00,"Donald Trump is trying to eliminate the entire Affordable Care Act in the middle of a pandemic.

If he gets his way, more than 100 million Americans with pre-existing conditions could see their costs skyrocket or be denied coverage altogether.

We can’t let him win. https://t.co/DoTV2uw1bn",1409,3733,16426
1323048424929898501,2020-11-01 23:45:00+00:00,It’s long past time President Trump and his wealthy friends paid their fair share in taxes.,7358,13026,129702
1323043391840481280,2020-11-01 23:25:00+00:00,"Scranton, Pennsylvania, isn't just where I'm from — it's the people I'm for. I'll fight every single day in the White House for the hardworking Americans who make our country run. https://t.co/vahd9rc1Ja",1650,4228,24859
1323030495630798848,2020-11-01 22:33:45+00:00,"Together, we can solve the crises we’re facing and win the battle for the soul of the nation. It all begins on Tuesday. Tune in as we get out the vote in Pennsylvania. https://t.co/cOqA9eN3LA",1272,2204,12473
