ID,Date,Tweet,Reply_count,Retweet_count,Like_count
1323406093930893313,2020-11-02 23:26:15+00:00,"In 2019, the official poverty rate fell to an ALL-TIME record low of 10.5 percent.

Over 4 million people were lifted out of poverty between 2018-2019 for a 1.3 percent decrease.

This was the largest reduction in poverty in over 50 years. https://t.co/bjkTQGvlb7",1320,1066,4808
1323394549885161474,2020-11-02 22:40:22+00:00,"No recent President has done more than President @realDonaldTrump to improve the lives of blue-collar Americans, Robb Sinn writes.

""The third-quarter economic data... confirm once again that Trump is on the job for U.S. workers.""

West Wing Reads: https://t.co/DaQTQQYSok https://t.co/KCRNMe3p2z",592,467,2611
1323386990478401539,2020-11-02 22:10:20+00:00,"On President Trump's watch, peace—not war—is breaking out. https://t.co/zytU8Wmplp",1094,1331,6281
1323369908017766401,2020-11-02 21:02:27+00:00,"In October, President @realDonaldTrump brokered a peace agreement between Sudan and Israel—the third such agreement between Israel and an Arab-Muslim nation in less than three months!

All over the world, PEACE is within reach! https://t.co/ZWW3hg8SYA",831,962,5430
1323368754965864449,2020-11-02 20:57:52+00:00,"Before this summer, only two peace deals between Israel and its Arab neighbors had been secured over the past 72 years.

This year, with help from President @realDonaldTrump, two such historic agreements were announced within *one month* of each other. https://t.co/kRut5K0JyL",469,636,3281
1323352068531376129,2020-11-02 19:51:34+00:00,https://t.co/t9COoVzyXC,421,714,4168
1323338593012748288,2020-11-02 18:58:01+00:00,"Today, the ISIS caliphate is destroyed.

Terrorist leaders are dead.

And instead of sending American troops to fight in endless wars or giving cash to terrorist sponsors in Iran, the United States is securing peace deals with our real allies across the Middle East. https://t.co/dPCAdYKiIV",1016,903,5030
1323330840147931137,2020-11-02 18:27:13+00:00,Under President @realDonaldTrump our military is stronger than ever! 🇺🇸 https://t.co/j5VQk8w0wR,1005,1135,7478
1323317383277281281,2020-11-02 17:33:44+00:00,"President @realDonaldTrump is the first American leader since Ronald Reagan not to start a war.

Instead, he has rebuilt our military, restored American sovereignty, and renewed the “peace through strength” foreign policy that helped our country win the Cold War. https://t.co/7ByMjFAGvB",2608,1686,8397
1323126759009734656,2020-11-02 04:56:16+00:00,"This fall, President @realDonaldTrump honored the Cuban patriots of the 1961 Bay of Pigs invasion at the White House.

FREEDOM will prevail against the sinister forces of communism and socialism! https://t.co/NDd4HIlr17",727,1231,7561
1323125180588302341,2020-11-02 04:50:00+00:00,"The brutal dictatorships in Venezuela, Cuba, &amp; Nicaragua are a direct threat to their own people and to the national security of the United States.

President @realDonaldTrump is denying them funds and supporting the PEOPLE of Latin America! https://t.co/T6raPuy7LK",703,996,5506
1323122667487191042,2020-11-02 04:40:01+00:00,"The Hispanic community has achieved record-setting economic successes as a direct result of President @realDonaldTrump creating a thriving economic environment.

This is his promise to Hispanic Americans!

https://t.co/Cc8Es75hML https://t.co/GOjhZWNLD3",509,734,4012
1323118892437377024,2020-11-02 04:25:00+00:00,"President @realDonaldTrump is committed to protecting and restoring Florida’s wetlands.
 
Under his direction, funding to protect the Everglades has increased by 55 percent! https://t.co/AToJDVqZbs",417,595,3662
1323115872274165760,2020-11-02 04:13:00+00:00,"While the previous administration surrendered America’s status in space, President @realDonaldTrump has invested in @NASA to restore American dominance on the final frontier. 

@NASAKennedy supports over 24,000 Florida jobs alone!

https://t.co/Ulb7toKl9m https://t.co/TigR5A1QEo",535,601,4010
1323115117005950979,2020-11-02 04:10:00+00:00,"President @realDonaldTrump's defense budget increases are helping to create jobs at the local level in Florida—and there's no greater example than the booming aerospace and space industry!

https://t.co/Ulb7tosKhO https://t.co/tmW0ziMX9D",281,387,2406
1323075606418960386,2020-11-02 01:33:00+00:00,Georgia is receiving more than 3 million rapid point-of-care COVID tests to support their communities! https://t.co/UevUfoaHcg,378,231,1754
1323074348501159936,2020-11-02 01:28:00+00:00,"President @realDonaldTrump is en route to Georgia! 

To Georgia's doctors, nurses, and first responders: THANK YOU! https://t.co/hndP8glmBP",693,564,4194
1323062266099544064,2020-11-02 00:40:00+00:00,"The Great American Comeback in action: Black-owned businesses are LEADING THE WAY to recovery after an incredible rebound to pre-pandemic numbers! 🔥 

https://t.co/3vC4PJahFv",348,621,3973
1323046914770784259,2020-11-01 23:39:00+00:00,"The farmers, manufacturers, and scientists of North Carolina ALL have reason to celebrate thanks to President @realDonaldTrump's pro-industry policies and tough trade negotiations! https://t.co/vG7gssYtQL",477,582,3367
1323042639860649985,2020-11-01 23:22:00+00:00,"The Trump tax cuts are both family friendly AND business friendly—resulting in higher wages and better benefits for workers!

How tax cuts, Opportunity Zones, and more are boosting income in North Carolina: https://t.co/DilvsWqLrl https://t.co/rntad5OQeC",593,621,3573
1323035091094917122,2020-11-01 22:52:01+00:00,"The Trump Administration is sending 3,150,000 rapid point-of-care COVID tests to North Carolina, with over half a million already sent directly to high-priority facilities. https://t.co/LYSKRRG95E",1285,671,4703
1323032321830883329,2020-11-01 22:41:00+00:00,President @realDonaldTrump is heading to North Carolina next! https://t.co/wbCcL0NAwj,524,494,3616
1323000864865398785,2020-11-01 20:36:01+00:00,"Under President @realDonaldTrump's leadership, the FOURTH round of Farmers to Families food boxes is underway! 

The purchase of surplus produce, dairy, and meat helps suppliers and families alike—and it's just one of the President's actions to support Americans in need. https://t.co/rARvY4ByhY",702,873,4381
1322996933015777286,2020-11-01 20:20:23+00:00,"The previous administration rejected American energy and imposed radical restrictions on our farmers and ethanol producers. Not under President Trump.

President @realDonaldTrump will ALWAYS stand with America's GREAT farmers! 🇺🇸 https://t.co/7e1q1TTNn8",495,782,4183
1322993818015289351,2020-11-01 20:08:00+00:00,"In Iowa, the average family saw its income grow by $3,100 in the first 3 years under President @realDonaldTrump—nearly DOUBLE the change under the last three years of the previous administration. https://t.co/01enuOv3q6",1060,1394,9425
1322975447198666753,2020-11-01 18:55:00+00:00,"President @realDonaldTrump's next stop: Iowa!

The Trump Administration is sending Iowa communities 950,000 rapid point-of-care COVID-19 tests. https://t.co/AWZsZlvPHm",449,302,2010
1322959589399318529,2020-11-01 17:52:00+00:00,Under President Trump—who has delivered historic criminal justice breakthroughs since his first year in office—the number of incarcerated black Americans fell to the lowest level in three decades. https://t.co/tqoheL58RX,712,1086,5578
1322943483263537156,2020-11-01 16:48:00+00:00,How President @realDonaldTrump's trade policies have been a boost to Michigan's autoworkers &amp; farmers: https://t.co/SnowSVNqDQ,543,651,3688
1322937698584350720,2020-11-01 16:25:00+00:00,"President @realDonaldTrump is in Michigan this morning! 

THANK YOU to Michigan's doctors, nurses, first responders, and caregivers! https://t.co/vD0CK1QLLD",639,591,3693
1322710541803180032,2020-11-01 01:22:22+00:00,"GDP growth in the third quarter: 33.1%

The highest rate EVER 🇺🇸 https://t.co/HG27nxY2Z9",655,1139,5124
1322710196079206402,2020-11-01 01:21:00+00:00,"In a single quarter, the United States has now recovered two-thirds of the economic output lost due to the pandemic during the first half of the year.

The Great American Comeback is underway! 🇺🇸",1345,1467,8956
1322698620148322305,2020-11-01 00:35:00+00:00,"Important piece from @GovDunleavy: 

1. Oil is not going anywhere.

2. If America abandons oil, the world environment will suffer.

3. Some 10 million American jobs will evaporate if extremist politicians ship energy production to dirty oil overseas. https://t.co/c6BOws7T9E",397,413,2262
1322695010526072832,2020-11-01 00:20:39+00:00,"Today’s operation should serve as a stark warning to terrorists and criminal thugs who mistakenly believe they can kidnap Americans with impunity.""",183,709,5318
